transaction_id,bill_amount,product_sold,discount_rate,transaction_date
TXN0013759,6497,Mini UPS for Router - 2 ; Bluetooth Speaker - 1,11,04-01-2023 12:15
TXN0016353,22494,Gaming Controller - 3 ; Webcam HD - 2 ; Laser Printer - 1,12,04-01-2023 12:16
TXN0019860,1398,USB Flash Drive 64GB - 2,12,04-01-2023 13:42
TXN0003931,4999,Smartwatch Series A - 1,0,04-01-2023 16:41
TXN0005783,15998,Action Camera 4K - 2,0,04-01-2023 20:03
TXN0004914,9998,Smartwatch Series A - 2,0,04-01-2023 21:29
TXN0001130,10995,WiFi Router Dual Band - 5,0,04-01-2023 22:30
TXN0015011,699,USB Flash Drive 64GB - 1,0,04-01-2023 22:42
TXN0001522,8997,Gaming Headset - 3,2,05-01-2023 00:43
TXN0018838,34995,Soundbar Home - 5,0,05-01-2023 00:45
TXN0007164,6196,Wireless Mouse - 2 ; Desk Microphone - 2,0,05-01-2023 01:15
TXN0011404,5196,Bluetooth Tracker - 4,15,05-01-2023 02:30
TXN0002987,7495,Webcam HD - 5,0,05-01-2023 03:03
TXN0009183,59995,Laser Printer - 5,0,05-01-2023 03:48
TXN0014667,41594,Desk Microphone - 2 ; Laser Printer - 3 ; Wireless Mouse - 1,0,05-01-2023 04:59
TXN0017068,6196,USB Hub 4-Port - 2 ; Bluetooth Speaker - 2,0,05-01-2023 05:23
TXN0005844,7996,Portable Power Bank 20000mAh - 4,0,05-01-2023 05:46
TXN0018278,7495,Laptop Stand Aluminum - 5,0,05-01-2023 10:42
TXN0007808,2097,HDMI Cable 2m - 2 ; Laptop Stand Aluminum - 1,4,05-01-2023 12:23
TXN0000879,5996,Webcam HD - 4,0,05-01-2023 12:23
TXN0009260,1599,Wireless Earphones - 1,0,05-01-2023 13:08
TXN0009200,1499,Smart Door Sensor - 1,0,05-01-2023 13:57
TXN0010715,13196,SSD 500GB - 4,3,05-01-2023 14:09
TXN0013019,7296,USB Flash Drive 64GB - 1 ; WiFi Router Dual Band - 3,0,05-01-2023 14:17
TXN0017245,3998,Portable Bluetooth Keyboard - 2,0,05-01-2023 14:40
TXN0013238,11996,Gaming Headset - 4,0,05-01-2023 15:26
TXN0015316,6998,Graphics Tablet Small - 2,0,05-01-2023 16:18
TXN0010489,9999,Drone Mini - 1,0,05-01-2023 17:23
TXN0017456,29995,VR Headset Basic - 5,0,05-01-2023 17:28
TXN0009803,6495,Bluetooth Tracker - 5,0,05-01-2023 17:51
TXN0012031,7694,Smart LED Bulb - 1 ; Smart Door Sensor - 2 ; Bluetooth Tracker - 3,0,05-01-2023 17:51
TXN0004491,1798,Laptop Cooling Pad - 2,0,05-01-2023 18:12
TXN0013699,2495,RGB Strip Light - 5,0,05-01-2023 19:34
TXN0015793,6396,Wireless Earphones - 4,13,05-01-2023 20:06
TXN0018982,1198,USB Hub 4-Port - 2,0,06-01-2023 01:10
TXN0000842,5095,USB Flash Drive 64GB - 3 ; Smart Door Sensor - 2,0,06-01-2023 05:40
TXN0019008,7995,Wireless Earphones - 5,0,06-01-2023 05:57
TXN0019099,11794,WiFi Router Dual Band - 1 ; SSD 500GB - 2 ; USB-C Fast Charger - 3,6,06-01-2023 07:19
TXN0000545,1196,HDMI Cable 2m - 4,0,06-01-2023 07:28
TXN0006357,4995,USB-C Fast Charger - 5,0,06-01-2023 08:08
TXN0000314,17998,LED Monitor 24 Inch - 2,8,06-01-2023 10:23
TXN0015671,7996,Mini UPS for Router - 4,0,06-01-2023 11:23
TXN0017960,1797,Wireless Mouse - 3,0,06-01-2023 11:25
TXN0002198,19998,Drone Mini - 2,5,06-01-2023 11:25
TXN0005332,27495,Soundbar Home - 3 ; Bluetooth Speaker - 1 ; Noise Cancelling Earbuds - 1,4,06-01-2023 12:29
TXN0018624,9996,Gaming Controller - 4,0,06-01-2023 13:35
TXN0019281,11998,VR Headset Basic - 2,0,06-01-2023 14:44
TXN0011549,6996,Wireless Charging Pad - 3 ; Desk Microphone - 1,0,06-01-2023 15:34
TXN0013288,1497,RGB Strip Light - 3,0,06-01-2023 15:48
TXN0002948,21195,VR Headset Basic - 3 ; Wireless Earphones - 2,0,06-01-2023 17:05
TXN0019506,4499,External Hard Drive 1TB - 1,3,06-01-2023 17:38
TXN0019828,18195,WiFi Router Dual Band - 1 ; Portable Power Bank 20000mAh - 2 ; VR Headset Basic - 2,2,06-01-2023 20:22
TXN0014551,19998,Drone Mini - 2,2,06-01-2023 20:23
TXN0016768,8796,WiFi Router Dual Band - 4,0,07-01-2023 00:57
TXN0011195,5996,Wireless Charging Pad - 4,0,07-01-2023 02:08
TXN0014130,11595,WiFi Router Dual Band - 3 ; Desk Microphone - 2,0,07-01-2023 04:48
TXN0008507,34494,Mechanical Keyboard - 3 ; Action Camera 4K - 3,4,07-01-2023 06:33
TXN0017927,2495,RGB Strip Light - 5,0,07-01-2023 06:58
TXN0002805,39996,Drone Mini - 4,0,07-01-2023 09:09
TXN0018027,7497,Desk Microphone - 3,2,07-01-2023 09:30
TXN0000807,12495,Gaming Controller - 5,0,07-01-2023 11:01
TXN0019049,21891,Smartwatch Series A - 3 ; Smart LED Bulb - 3 ; Laptop Stand Aluminum - 3,2,07-01-2023 11:47
TXN0004274,9495,Ink Cartridge Black - 2 ; Desk Microphone - 3,2,07-01-2023 12:44
TXN0019290,5996,Webcam HD - 4,1,07-01-2023 12:45
TXN0014574,799,Smart LED Bulb - 1,0,07-01-2023 13:03
TXN0011646,1495,HDMI Cable 2m - 5,2,07-01-2023 14:28
TXN0004291,1599,Wireless Earphones - 1,0,07-01-2023 15:18
TXN0003511,1499,Laptop Stand Aluminum - 1,0,07-01-2023 16:41
TXN0007055,5999,VR Headset Basic - 1,0,07-01-2023 17:07
TXN0010119,8999,LED Monitor 24 Inch - 1,0,07-01-2023 18:28
TXN0016717,4998,Gaming Controller - 2,3,07-01-2023 18:29
TXN0003228,14495,Mechanical Keyboard - 3 ; Portable Bluetooth Keyboard - 2,0,07-01-2023 21:04
TXN0000921,16495,SSD 500GB - 5,0,07-01-2023 22:01
TXN0014181,12794,Gaming Controller - 3 ; Ink Cartridge Black - 2 ; SSD 500GB - 1,2,07-01-2023 22:11
TXN0011572,11999,Laser Printer - 1,0,07-01-2023 22:15
TXN0003188,12896,USB Flash Drive 64GB - 1 ; Smart Plug WiFi - 2 ; Drone Mini - 1,0,07-01-2023 22:23
TXN0005312,12495,Desk Microphone - 5,4,07-01-2023 22:36
TXN0012784,8997,Gaming Headset - 3,0,08-01-2023 05:38
TXN0009015,2697,Laptop Cooling Pad - 3,0,08-01-2023 08:13
TXN0014307,6396,Bluetooth Keyboard - 4,0,08-01-2023 09:19
TXN0010501,1999,Portable Bluetooth Keyboard - 1,3,08-01-2023 09:43
TXN0004555,3196,Smart LED Bulb - 4,0,08-01-2023 09:53
TXN0003345,4495,Laptop Cooling Pad - 5,0,08-01-2023 12:22
TXN0011726,7995,Bluetooth Keyboard - 5,5,08-01-2023 13:06
TXN0002032,2998,Smart Door Sensor - 2,0,08-01-2023 13:20
TXN0009240,4995,USB-C Fast Charger - 5,12,08-01-2023 13:36
TXN0001340,1495,HDMI Cable 2m - 5,3,08-01-2023 14:31
TXN0000171,599,Wireless Mouse - 1,0,08-01-2023 15:13
TXN0001559,3998,Portable Power Bank 20000mAh - 2,0,08-01-2023 15:39
TXN0002541,5398,External Hard Drive 1TB - 1 ; Laptop Cooling Pad - 1,0,08-01-2023 16:35
TXN0006709,29196,WiFi Router Dual Band - 1 ; LED Monitor 24 Inch - 3,0,08-01-2023 23:24
TXN0018013,5797,Smart LED Bulb - 1 ; Desk Microphone - 2,2,09-01-2023 01:45
TXN0013286,31996,Action Camera 4K - 4,4,09-01-2023 02:16
TXN0007898,2998,Wireless Charging Pad - 2,4,09-01-2023 02:21
TXN0017099,23998,Laser Printer - 2,1,09-01-2023 03:15
TXN0004976,27796,LED Monitor 24 Inch - 3 ; Smart LED Bulb - 1,0,09-01-2023 05:00
TXN0015767,4499,External Hard Drive 1TB - 1,8,09-01-2023 05:36
TXN0019904,1099,Smart Plug WiFi - 1,0,09-01-2023 07:05
TXN0012210,6495,Bluetooth Tracker - 5,0,09-01-2023 08:36
TXN0015992,10995,Desk Microphone - 2 ; Portable Power Bank 20000mAh - 3,0,09-01-2023 09:05
TXN0016570,899,LED Desk Lamp USB Powered - 1,0,09-01-2023 10:06
TXN0017620,1596,Ethernet Cable 5m - 4,0,09-01-2023 15:26
TXN0000303,17997,VR Headset Basic - 3,0,09-01-2023 15:35
TXN0013040,4495,LED Desk Lamp USB Powered - 5,0,09-01-2023 16:39
TXN0009660,20997,Soundbar Home - 3,1,09-01-2023 17:59
TXN0016325,5998,Gaming Headset - 2,0,09-01-2023 19:08
TXN0006351,8999,Portable Projector Mini - 1,0,09-01-2023 20:06
TXN0001921,1398,USB Flash Drive 64GB - 2,0,09-01-2023 22:20
TXN0009222,4497,Smart Door Sensor - 3,0,09-01-2023 23:14
TXN0016999,16496,Desk Microphone - 3 ; LED Monitor 24 Inch - 1,13,09-01-2023 23:28
TXN0001873,2995,USB Hub 4-Port - 5,3,09-01-2023 23:41
TXN0018483,9897,SSD 500GB - 3,0,10-01-2023 00:42
TXN0017104,5997,Portable Bluetooth Keyboard - 3,0,10-01-2023 01:02
TXN0017724,2996,HDMI Cable 2m - 1 ; LED Desk Lamp USB Powered - 3,0,10-01-2023 01:37
TXN0011402,4797,Wireless Earphones - 3,0,10-01-2023 01:44
TXN0013916,7497,Gaming Controller - 3,3,10-01-2023 02:06
TXN0016121,38894,USB-C Fast Charger - 2 ; LED Desk Lamp USB Powered - 1 ; Laser Printer - 3,0,10-01-2023 02:22
TXN0005583,18496,Action Camera 4K - 1 ; Mechanical Keyboard - 3,2,10-01-2023 02:47
TXN0006924,17998,Portable Projector Mini - 2,0,10-01-2023 03:29
TXN0000716,599,Wireless Mouse - 1,0,10-01-2023 03:54
TXN0003276,6495,Bluetooth Tracker - 5,4,10-01-2023 04:58
TXN0018727,7497,Bluetooth Speaker - 3,0,10-01-2023 05:30
TXN0013029,35996,LED Monitor 24 Inch - 4,0,10-01-2023 05:56
TXN0003031,9995,Portable Power Bank 20000mAh - 5,13,10-01-2023 08:18
TXN0007556,24994,Laptop Stand Aluminum - 2 ; Portable Projector Mini - 2 ; Portable Bluetooth Keyboard - 2,0,10-01-2023 10:21
TXN0018593,7695,Laptop Cooling Pad - 3 ; Desk Microphone - 2,0,10-01-2023 11:00
TXN0000846,15495,Desk Microphone - 3 ; Noise Cancelling Earbuds - 2,0,10-01-2023 11:19
TXN0009499,24296,Bluetooth Tracker - 1 ; Drone Mini - 2 ; Gaming Headset - 1,5,10-01-2023 12:30
TXN0007852,2998,Wireless Charging Pad - 2,1,10-01-2023 12:46
TXN0013358,17996,External Hard Drive 1TB - 4,0,10-01-2023 13:05
TXN0019123,2998,Wireless Charging Pad - 2,0,10-01-2023 15:14
TXN0005849,1599,Bluetooth Keyboard - 1,0,10-01-2023 15:16
TXN0015069,40495,Laser Printer - 3 ; Webcam HD - 1 ; Gaming Headset - 1,0,10-01-2023 15:37
TXN0019498,8394,Bluetooth Tracker - 3 ; Laptop Stand Aluminum - 3,0,10-01-2023 16:59
TXN0016352,5996,Smart Door Sensor - 4,0,10-01-2023 18:47
TXN0009720,4497,Smart Door Sensor - 3,0,10-01-2023 18:54
TXN0011600,2499,Bluetooth Speaker - 1,1,10-01-2023 19:04
TXN0002228,1999,Portable Power Bank 20000mAh - 1,0,10-01-2023 19:45
TXN0011126,1797,Wireless Mouse - 3,0,10-01-2023 19:54
TXN0015185,3297,Smart Plug WiFi - 3,0,10-01-2023 20:15
TXN0011086,599,Wireless Mouse - 1,0,10-01-2023 20:55
TXN0014993,1798,Laptop Cooling Pad - 2,0,10-01-2023 22:25
TXN0001553,899,LED Desk Lamp USB Powered - 1,0,10-01-2023 22:49
TXN0007501,4995,USB-C Fast Charger - 5,3,10-01-2023 23:04
TXN0004383,4998,Gaming Controller - 2,0,10-01-2023 23:33
TXN0017854,799,Smart LED Bulb - 1,0,11-01-2023 01:11
TXN0008775,29995,VR Headset Basic - 5,0,11-01-2023 03:18
TXN0006303,2596,USB Flash Drive 64GB - 2 ; Wireless Mouse - 2,4,11-01-2023 03:48
TXN0012757,1998,USB-C Fast Charger - 2,0,11-01-2023 04:34
TXN0005845,12196,External Hard Drive 1TB - 2 ; Wireless Earphones - 2,0,11-01-2023 05:10
TXN0017182,5996,Laptop Stand Aluminum - 4,0,11-01-2023 06:14
TXN0008901,7794,Mini UPS for Router - 3 ; Wireless Mouse - 3,1,11-01-2023 07:58
TXN0003129,29997,Drone Mini - 3,0,11-01-2023 09:12
TXN0002677,899,LED Desk Lamp USB Powered - 1,0,11-01-2023 09:41
TXN0008582,7794,WiFi Router Dual Band - 3 ; Ethernet Cable 5m - 3,0,11-01-2023 11:53
TXN0019899,9396,Smart LED Bulb - 3 ; Soundbar Home - 1,0,11-01-2023 12:04
TXN0007815,1499,Smart Door Sensor - 1,0,11-01-2023 12:29
TXN0012718,8999,Portable Projector Mini - 1,1,11-01-2023 12:31
TXN0004791,5394,Smart Plug WiFi - 2 ; Ethernet Cable 5m - 3 ; Portable Power Bank 20000mAh - 1,0,11-01-2023 13:12
TXN0005419,10498,Wireless Charging Pad - 1 ; LED Monitor 24 Inch - 1,4,11-01-2023 14:17
TXN0017349,2499,Desk Microphone - 1,3,11-01-2023 15:54
TXN0000374,5996,Wireless Charging Pad - 4,3,11-01-2023 16:03
TXN0011252,39995,Action Camera 4K - 5,0,11-01-2023 16:47
TXN0001441,10796,SSD 500GB - 3 ; LED Desk Lamp USB Powered - 1,4,11-01-2023 18:10
TXN0008359,6394,Portable Bluetooth Keyboard - 2 ; USB Hub 4-Port - 2 ; Wireless Mouse - 2,5,11-01-2023 18:14
TXN0012470,31596,Bluetooth Keyboard - 1 ; Drone Mini - 3,0,11-01-2023 18:37
TXN0002828,3495,USB Flash Drive 64GB - 5,0,11-01-2023 18:51
TXN0013356,2396,USB Hub 4-Port - 4,0,11-01-2023 18:56
TXN0016604,5196,Bluetooth Tracker - 4,0,11-01-2023 19:15
TXN0003499,8997,Gaming Headset - 3,4,11-01-2023 19:35
TXN0011657,21495,Soundbar Home - 2 ; Gaming Controller - 3,0,11-01-2023 20:05
TXN0003561,13494,Portable Bluetooth Keyboard - 3 ; Gaming Controller - 3,0,11-01-2023 20:10
TXN0018097,4196,Wireless Charging Pad - 2 ; Wireless Mouse - 2,0,11-01-2023 22:14
TXN0014162,26997,LED Monitor 24 Inch - 3,0,12-01-2023 01:23
TXN0014375,17495,Mechanical Keyboard - 5,0,12-01-2023 02:48
TXN0017426,8999,LED Monitor 24 Inch - 1,5,12-01-2023 04:00
TXN0018554,6999,Soundbar Home - 1,3,12-01-2023 05:20
TXN0017451,6597,WiFi Router Dual Band - 3,0,12-01-2023 05:31
TXN0012494,19995,Noise Cancelling Earbuds - 5,0,12-01-2023 05:36
TXN0011854,5896,Wireless Earphones - 3 ; Smart Plug WiFi - 1,2,12-01-2023 05:37
TXN0017595,599,Wireless Mouse - 1,2,12-01-2023 06:10
TXN0011001,7796,Webcam HD - 3 ; SSD 500GB - 1,0,12-01-2023 08:25
TXN0008727,7497,Bluetooth Speaker - 3,0,12-01-2023 08:57
TXN0017986,13997,Drone Mini - 1 ; Portable Power Bank 20000mAh - 2,5,12-01-2023 09:29
TXN0014289,2997,USB-C Fast Charger - 3,0,12-01-2023 11:03
TXN0012332,7597,Bluetooth Keyboard - 1 ; Gaming Headset - 2,0,12-01-2023 11:04
TXN0002590,2199,WiFi Router Dual Band - 1,0,12-01-2023 12:43
TXN0000484,4497,Laptop Stand Aluminum - 3,0,12-01-2023 13:06
TXN0003190,10195,Smartwatch Series A - 1 ; Smart Door Sensor - 2 ; Smart Plug WiFi - 2,0,12-01-2023 13:47
TXN0001520,11495,Portable Bluetooth Keyboard - 2 ; Desk Microphone - 3,0,12-01-2023 14:01
TXN0000587,9998,Smartwatch Series A - 2,2,12-01-2023 14:43
TXN0004261,3499,Graphics Tablet Small - 1,0,12-01-2023 15:55
TXN0012550,3397,Laptop Stand Aluminum - 2 ; Ethernet Cable 5m - 1,0,12-01-2023 16:01
TXN0006696,3996,Ink Cartridge Black - 4,0,12-01-2023 16:10
TXN0009760,23494,Noise Cancelling Earbuds - 1 ; RGB Strip Light - 3 ; Portable Projector Mini - 2,0,12-01-2023 16:38
TXN0006262,2396,USB Hub 4-Port - 4,0,12-01-2023 18:34
TXN0005835,8998,External Hard Drive 1TB - 2,0,12-01-2023 18:46
TXN0009076,35996,Portable Projector Mini - 4,0,12-01-2023 23:54
TXN0013445,3897,Bluetooth Tracker - 3,0,13-01-2023 00:11
TXN0017591,3998,Portable Bluetooth Keyboard - 2,0,13-01-2023 01:26
TXN0010555,27892,HDMI Cable 2m - 3 ; Action Camera 4K - 3 ; Laptop Stand Aluminum - 2,4,13-01-2023 01:45
TXN0000261,26997,LED Monitor 24 Inch - 3,0,13-01-2023 04:08
TXN0014697,16695,Soundbar Home - 2 ; LED Desk Lamp USB Powered - 3,0,13-01-2023 05:20
TXN0002336,1798,Laptop Cooling Pad - 2,0,13-01-2023 05:57
TXN0013323,26997,Portable Projector Mini - 3,0,13-01-2023 06:19
TXN0019868,7196,External Hard Drive 1TB - 1 ; LED Desk Lamp USB Powered - 3,0,13-01-2023 08:10
TXN0010011,31996,Action Camera 4K - 4,4,13-01-2023 08:52
TXN0018845,34995,Soundbar Home - 5,0,13-01-2023 09:18
TXN0012653,3998,Portable Bluetooth Keyboard - 2,0,13-01-2023 10:09
TXN0013090,35996,Portable Projector Mini - 4,0,13-01-2023 13:36
TXN0013801,53995,LED Monitor 24 Inch - 2 ; Laser Printer - 3,11,13-01-2023 17:48
TXN0008657,8999,Portable Projector Mini - 1,3,13-01-2023 18:06
TXN0013505,2796,USB Flash Drive 64GB - 4,0,13-01-2023 19:40
TXN0004901,3998,Portable Bluetooth Keyboard - 2,0,13-01-2023 22:52
TXN0016199,31996,Action Camera 4K - 4,0,14-01-2023 00:58
TXN0010695,35996,LED Monitor 24 Inch - 4,0,14-01-2023 03:05
TXN0010082,25794,USB Hub 4-Port - 3 ; Action Camera 4K - 3,0,14-01-2023 06:01
TXN0019318,2396,USB Hub 4-Port - 4,0,14-01-2023 10:20
TXN0002533,20192,Bluetooth Speaker - 3 ; Smart Plug WiFi - 2 ; Mechanical Keyboard - 3,8,14-01-2023 10:50
TXN0010081,3897,Bluetooth Tracker - 3,0,14-01-2023 11:22
TXN0006474,11998,VR Headset Basic - 2,0,14-01-2023 11:57
TXN0004388,9496,Smartwatch Series A - 1 ; Laptop Stand Aluminum - 3,0,14-01-2023 14:26
TXN0002461,9995,Portable Bluetooth Keyboard - 5,0,14-01-2023 15:48
TXN0016489,10497,Mechanical Keyboard - 3,1,14-01-2023 15:58
TXN0010452,17998,Portable Projector Mini - 2,7,14-01-2023 18:34
TXN0007215,23998,Laser Printer - 2,3,15-01-2023 02:00
TXN0007193,2998,Wireless Charging Pad - 2,0,15-01-2023 02:37
TXN0004548,6999,Soundbar Home - 1,0,15-01-2023 02:43
TXN0005152,4794,USB Flash Drive 64GB - 3 ; Laptop Cooling Pad - 3,4,15-01-2023 03:28
TXN0002004,9894,Smart LED Bulb - 3 ; Gaming Controller - 3,15,15-01-2023 04:05
TXN0000784,15998,Action Camera 4K - 2,0,15-01-2023 04:16
TXN0019421,9396,Gaming Controller - 2 ; WiFi Router Dual Band - 2,2,15-01-2023 05:36
TXN0014102,4396,Smart Plug WiFi - 4,1,15-01-2023 06:14
TXN0007943,4495,LED Desk Lamp USB Powered - 5,6,15-01-2023 07:58
TXN0001074,7194,Laptop Cooling Pad - 3 ; Smart Door Sensor - 3,0,15-01-2023 09:24
TXN0010018,1999,Mini UPS for Router - 1,7,15-01-2023 11:25
TXN0018037,2998,Webcam HD - 2,0,15-01-2023 11:32
TXN0011656,11996,Portable Power Bank 20000mAh - 3 ; VR Headset Basic - 1,0,15-01-2023 11:37
TXN0012322,4998,Desk Microphone - 2,4,15-01-2023 12:31
TXN0011933,3996,USB-C Fast Charger - 4,0,15-01-2023 13:39
TXN0007679,1499,Webcam HD - 1,1,15-01-2023 14:23
TXN0016856,9996,Bluetooth Speaker - 4,0,15-01-2023 15:48
TXN0012889,1999,Portable Power Bank 20000mAh - 1,0,15-01-2023 17:48
TXN0019299,1797,Wireless Mouse - 3,2,15-01-2023 19:00
TXN0017641,20996,LED Monitor 24 Inch - 1 ; Noise Cancelling Earbuds - 3,0,15-01-2023 20:07
TXN0019490,8998,External Hard Drive 1TB - 2,0,15-01-2023 20:58
TXN0000117,5997,Mini UPS for Router - 3,5,15-01-2023 21:10
TXN0018874,20997,Soundbar Home - 3,2,15-01-2023 21:28
TXN0008086,8796,Soundbar Home - 1 ; Wireless Mouse - 3,3,15-01-2023 21:52
TXN0004180,19998,Drone Mini - 2,0,15-01-2023 22:05
TXN0004820,9896,SSD 500GB - 1 ; WiFi Router Dual Band - 3,3,15-01-2023 22:10
TXN0000974,3198,Bluetooth Keyboard - 2,0,16-01-2023 00:50
TXN0013871,1798,LED Desk Lamp USB Powered - 2,0,16-01-2023 01:32
TXN0018904,1495,HDMI Cable 2m - 5,0,16-01-2023 01:49
TXN0014682,999,Ink Cartridge Black - 1,0,16-01-2023 02:47
TXN0019354,9498,Smart Door Sensor - 1 ; Action Camera 4K - 1,0,16-01-2023 03:12
TXN0004420,2598,Bluetooth Tracker - 2,0,16-01-2023 03:46
